,year,month,water_temp,Station
126,2010.0,June,56.23855845040612,Monterey
127,2010.0,March,56.407980469949976,Monterey
128,2010.0,May,54.63397852566856,Monterey
129,2010.0,November,55.67678093138507,Monterey
130,2010.0,October,57.31986357792191,Monterey
131,2010.0,September,58.47099454064181,Monterey
132,2011.0,April,56.26350386123229,Monterey
133,2011.0,August,57.57652243589743,Monterey
134,2011.0,December,54.06899423022797,Monterey
135,2011.0,February,53.63060526286939,Monterey
136,2011.0,January,53.40365589543247,Monterey
137,2011.0,July,57.89788374369702,Monterey
138,2011.0,June,56.48922265128496,Monterey
139,2011.0,March,54.02137060478199,Monterey
140,2011.0,May,54.5874513196009,Monterey
141,2011.0,November,55.152648693605975,Monterey
142,2011.0,October,59.56484741342484,Monterey
143,2011.0,September,58.57757898830597,Monterey
144,2012.0,April,55.0289084459822,Monterey
145,2012.0,August,57.67068151147099,Monterey
146,2012.0,December,56.96984175666915,Monterey
147,2012.0,February,54.06147697403712,Monterey
148,2012.0,January,53.225512820512826,Monterey
149,2012.0,July,56.699726251105375,Monterey
150,2012.0,June,54.68702914600063,Monterey
151,2012.0,March,52.58690287653523,Monterey
152,2012.0,May,55.34955818849908,Monterey
153,2012.0,November,57.95009308665124,Monterey
154,2012.0,October,59.69927460654382,Monterey
155,2012.0,September,58.88689102564103,Monterey
156,2013.0,April,55.61149191499901,Monterey
157,2013.0,August,58.82167529585799,Monterey
158,2013.0,December,54.47144332424115,Monterey
159,2013.0,February,53.18865830899059,Monterey
160,2013.0,January,53.27928921009953,Monterey
161,2013.0,July,59.49242941898528,Monterey
162,2013.0,June,57.1963590489928,Monterey
163,2013.0,March,53.71522596824376,Monterey
164,2013.0,May,56.705193140768834,Monterey
165,2013.0,November,55.97639042807475,Monterey
166,2013.0,October,56.525270431814114,Monterey
167,2013.0,September,59.396491918890455,Monterey
168,2014.0,April,57.44145464542431,Monterey
169,2014.0,August,62.29674518628048,Monterey
170,2014.0,December,60.34835686839303,Monterey
171,2014.0,February,56.27902574939492,Monterey
172,2014.0,January,55.27951544215244,Monterey
173,2014.0,July,59.50611213925545,Monterey
174,2014.0,June,58.18381751154137,Monterey
175,2014.0,March,56.63383829980182,Monterey
176,2014.0,May,56.34803313753889,Monterey
177,2014.0,November,59.552836222978144,Monterey
178,2014.0,October,61.91448689382666,Monterey
179,2014.0,September,62.85749597361558,Monterey
0,2000.0,April,63.57446855680551,San Diego
1,2000.0,August,73.2956148018648,San Diego
2,2000.0,December,60.23623885172798,San Diego
3,2000.0,February,60.51152564102564,San Diego
4,2000.0,January,57.99951923076923,San Diego
5,2000.0,July,70.84345735785953,San Diego
6,2000.0,June,69.84953316610925,San Diego
7,2000.0,March,61.19002926421405,San Diego
8,2000.0,May,66.76484937164285,San Diego
9,2000.0,November,63.55928093645485,San Diego
10,2000.0,October,68.91992056856188,San Diego
11,2000.0,September,71.39811176142697,San Diego
12,2001.0,April,61.97201096005444,San Diego
13,2001.0,August,71.05737179487178,San Diego
14,2001.0,December,59.38903985507246,San Diego
15,2001.0,February,57.48199224021592,San Diego
16,2001.0,January,57.86168188695363,San Diego
17,2001.0,July,70.12227564102564,San Diego
18,2001.0,June,69.73763736263737,San Diego
19,2001.0,March,60.29472049689441,San Diego
20,2001.0,May,66.10772714604236,San Diego
21,2001.0,November,64.83983163575554,San Diego
22,2001.0,October,67.48969481605351,San Diego
23,2001.0,September,69.3038113154961,San Diego
24,2002.0,April,63.74903846153846,San Diego
25,2002.0,August,69.98348061311304,San Diego
26,2002.0,December,61.21872430106126,San Diego
27,2002.0,February,58.75687370600414,San Diego
28,2002.0,January,58.940489130434784,San Diego
29,2002.0,July,71.58208224746268,San Diego
30,2002.0,June,69.02281759335249,San Diego
31,2002.0,March,62.04455128205128,San Diego
32,2002.0,May,65.71455660281747,San Diego
33,2002.0,November,64.64350669163026,San Diego
34,2002.0,October,66.55226278020076,San Diego
35,2002.0,September,69.3066847826087,San Diego
36,2003.0,April,63.5164284990372,San Diego
37,2003.0,August,70.19485785953178,San Diego
38,2003.0,December,60.323282279314896,San Diego
39,2003.0,February,62.0600613154961,San Diego
40,2003.0,January,60.04156115623506,San Diego
41,2003.0,July,71.48302205041335,San Diego
42,2003.0,June,67.10672696868349,San Diego
43,2003.0,March,62.63486330698287,San Diego
44,2003.0,May,64.13179765886288,San Diego
