,Species,Total,port,Year
0,"Anchovy, northern",95,Morro Bay,2019
1,"Bonito, Pacific",311,Morro Bay,2019
2,Cabezon,"26,248",Morro Bay,2019
3,"Fish, unspecified",3,Morro Bay,2019
4,"Flounder, arrowtooth",14,Morro Bay,2019
5,"Flounder, starry",43,Morro Bay,2019
6,"Flounder, unspecified",1,Morro Bay,2019
7,"Greenling, kelp","1,907",Morro Bay,2019
8,"Greenling, rock",11,Morro Bay,2019
9,Grenadier,"3,045",Morro Bay,2019
10,"Hagfish, Pacific","390,504",Morro Bay,2019
11,"Halibut, California","26,320",Morro Bay,2019
12,Lingcod,"21,456",Morro Bay,2019
13,"Lizardfish, California",8,Morro Bay,2019
14,"Mackerel, jack",80,Morro Bay,2019
15,"Mackerel, Pacific",46,Morro Bay,2019
16,"Mackerel, unspecified",12,Morro Bay,2019
17,Opah,"2,872",Morro Bay,2019
18,"Prickleback, monkeyface",28,Morro Bay,2019
19,"Ray, bat",20,Morro Bay,2019
20,"Rockfish, aurora",75,Morro Bay,2019
21,"Rockfish, black",133,Morro Bay,2019
22,"Rockfish, black-and-","20,387",Morro Bay,2019
23,"Rockfish, blackgill","11,236",Morro Bay,2019
24,"Rockfish, blue","4,775",Morro Bay,2019
25,"Rockfish, bocaccio","3,046",Morro Bay,2019
26,"Rockfish, brown","24,515",Morro Bay,2019
27,"Rockfish, canary","2,189",Morro Bay,2019
28,"Rockfish, chilipepper",96,Morro Bay,2019
29,"Rockfish, China",145,Morro Bay,2019
30,"Rockfish, copper","2,979",Morro Bay,2019
31,"Rockfish, gopher","40,373",Morro Bay,2019
32,"Rockfish, grass","12,330",Morro Bay,2019
33,"Rockfish, greenblotched",2,Morro Bay,2019
34,"Rockfish, greenspotted",23,Morro Bay,2019
35,"Rockfish, group bolina",136,Morro Bay,2019
36,"Rockfish, group gopher",87,Morro Bay,2019
37,"Rockfish, group red",8,Morro Bay,2019
38,"Rockfish, kelp","1,050",Morro Bay,2019
39,"Rockfish, olive",380,Morro Bay,2019
40,"Rockfish, quillback",2,Morro Bay,2019
41,"Rockfish, rosy",25,Morro Bay,2019
42,"Rockfish, speckled",160,Morro Bay,2019
43,"Rockfish, starry",349,Morro Bay,2019
44,"Rockfish, treefish","4,651",Morro Bay,2019
45,"Rockfish, vermilion","24,735",Morro Bay,2019
46,"Rockfish, widow",38,Morro Bay,2019
47,"Rockfish, yellowtail",814,Morro Bay,2019
48,Sablefish,"317,465",Morro Bay,2019
49,Salmon,"5,646",Morro Bay,2019
50,"Salmon, Chinook","339,187",Morro Bay,2019
51,"Salmon, Roe (Chinook,",316,Morro Bay,2019
52,"Sardine, Pacific",405,Morro Bay,2019
53,"Seabass, white","2,139",Morro Bay,2019
54,"Shark, leopard",7,Morro Bay,2019
55,"Shark, Pacific angel",161,Morro Bay,2019
56,"Shark, sevengill",149,Morro Bay,2019
57,"Shark, shortfin mako","1,993",Morro Bay,2019
58,"Shark, soupfin",614,Morro Bay,2019
59,"Barracuda, California",138,Morro Bay,2018
60,"Bass, striped",14,Morro Bay,2018
61,"Bonito, Pacific",7,Morro Bay,2018
62,Cabezon,"20,356",Morro Bay,2018
63,"Flounder, arrowtooth",5,Morro Bay,2018
64,"Flounder, starry",44,Morro Bay,2018
65,"Flounder, unspecified",12,Morro Bay,2018
66,"Greenling, kelp","1,964",Morro Bay,2018
67,Grenadier,"6,868",Morro Bay,2018
68,"Hagfish, Pacific","188,239",Morro Bay,2018
69,"Hagfish, unspecified","225,572",Morro Bay,2018
70,"Halibut, California","31,949",Morro Bay,2018
71,"Halibut, unspecified",25,Morro Bay,2018
72,Lingcod,"29,650",Morro Bay,2018
73,"Mackerel, Pacific",9,Morro Bay,2018
74,"Mackerel, unspecified",8,Morro Bay,2018
75,Opah,"7,708",Morro Bay,2018
76,"Prickleback, monkeyface",18,Morro Bay,2018
77,"Rockfish, aurora",184,Morro Bay,2018
78,"Rockfish, bank","4,856",Morro Bay,2018
79,"Rockfish, black",502,Morro Bay,2018
80,"Rockfish, black-and-yellow","19,792",Morro Bay,2018
81,"Rockfish, blackgill","17,065",Morro Bay,2018
82,"Rockfish, blue","8,348",Morro Bay,2018
83,"Rockfish, bocaccio","17,357",Morro Bay,2018
84,"Rockfish, brown","26,917",Morro Bay,2018
85,"Rockfish, canary","1,738",Morro Bay,2018
86,"Rockfish, chilipepper",787,Morro Bay,2018
87,"Rockfish, China",145,Morro Bay,2018
88,"Rockfish, copper","3,635",Morro Bay,2018
89,"Rockfish, cowcod",48,Morro Bay,2018
90,"Rockfish, darkblotched",7,Morro Bay,2018
91,"Rockfish, flag",21,Morro Bay,2018
92,"Rockfish, gopher","43,364",Morro Bay,2018
93,"Rockfish, grass","10,586",Morro Bay,2018
94,"Rockfish, greenspotted",30,Morro Bay,2018
95,"Rockfish, greenstriped",10,Morro Bay,2018
96,"Rockfish, group red",544,Morro Bay,2018
97,"Rockfish, group shelf",20,Morro Bay,2018
98,"Rockfish, kelp",961,Morro Bay,2018
99,"Rockfish, Mexican",16,Morro Bay,2018
100,"Rockfish, olive",265,Morro Bay,2018
101,"Rockfish, quillback",6,Morro Bay,2018
102,"Rockfish, redbanded",2,Morro Bay,2018
103,"Rockfish, rosethorn",1,Morro Bay,2018
104,"Rockfish, rosy",2,Morro Bay,2018
105,"Rockfish, rougheye",13,Morro Bay,2018
106,"Rockfish, shortbelly",3,Morro Bay,2018
107,"Rockfish, speckled",193,Morro Bay,2018
108,"Rockfish, splitnose","4,572",Morro Bay,2018
109,"Rockfish, squarespot",2,Morro Bay,2018
110,"Rockfish, starry",142,Morro Bay,2018
111,"Rockfish, stripetail",305,Morro Bay,2018
112,"Rockfish, treefish","4,260",Morro Bay,2018
113,"Rockfish, unspecified",140,Morro Bay,2018
114,"Rockfish, vermilion","27,135",Morro Bay,2018
115,"Barracuda, California",462,Morro Bay,2013
116,Butterfish (Pacific pompano),39,Morro Bay,2013
117,Cabezon,"31,792",Morro Bay,2013
118,"Croaker, white",68,Morro Bay,2013
119,"Eel, monkeyface (prickleback)",64,Morro Bay,2013
120,"Flounder, arrowtooth",4,Morro Bay,2013
121,"Flounder, starry",938,Morro Bay,2013
122,"Flounder, unspecified",38,Morro Bay,2013
123,"Greenling, kelp","4,876",Morro Bay,2013
124,Grenadier,"51,336",Morro Bay,2013
125,Hagfishes,"517,108",Morro Bay,2013
126,"Halibut, California","12,090",Morro Bay,2013
127,Jacksmelt,682,Morro Bay,2013
128,Lingcod,"36,614",Morro Bay,2013
129,"Lizardfish, California",15,Morro Bay,2013
130,Louvar,52,Morro Bay,2013
131,Opah,"3,380",Morro Bay,2013
132,"Pomfret, Pacific",30,Morro Bay,2013
133,"Ray, bat",34,Morro Bay,2013
134,"Rockfish, China",261,Morro Bay,2013
135,"Rockfish, Mexican",7,Morro Bay,2013
136,"Rockfish, Pacific ocean perch",1,Morro Bay,2013
137,"Rockfish, aurora","3,438",Morro Bay,2013
138,"Rockfish, bank","65,406",Morro Bay,2013
139,"Rockfish, black-and-yellow","15,903",Morro Bay,2013
140,"Rockfish, black","2,561",Morro Bay,2013
141,"Rockfish, blackgill","42,050",Morro Bay,2013
142,"Rockfish, blue","1,185",Morro Bay,2013
143,"Rockfish, bocaccio","2,296",Morro Bay,2013
144,"Rockfish, brown","48,855",Morro Bay,2013
145,"Rockfish, canary",17,Morro Bay,2013
146,"Rockfish, chilipepper","11,585",Morro Bay,2013
147,"Rockfish, copper","3,569",Morro Bay,2013
148,"Rockfish, cowcod",61,Morro Bay,2013
149,"Rockfish, darkblotched",215,Morro Bay,2013
150,"Rockfish, flag",2,Morro Bay,2013
151,"Rockfish, gopher","40,253",Morro Bay,2013
152,"Rockfish, grass","11,744",Morro Bay,2013
153,"Rockfish, group bolina",12,Morro Bay,2013
154,"Rockfish, group red",119,Morro Bay,2013
155,"Rockfish, group shelf",295,Morro Bay,2013
156,"Rockfish, group slope",445,Morro Bay,2013
157,"Rockfish, kelp",893,Morro Bay,2013
158,"Rockfish, olive",74,Morro Bay,2013
159,"Rockfish, pink",1,Morro Bay,2013
160,"Rockfish, quillback",22,Morro Bay,2013
161,"Rockfish, redbanded",199,Morro Bay,2013
162,"Rockfish, rosy",3,Morro Bay,2013
163,"Rockfish, speckled",3,Morro Bay,2013
164,"Rockfish, splitnose","4,831",Morro Bay,2013
165,"Rockfish, starry",58,Morro Bay,2013
166,"Rockfish, treefish","2,602",Morro Bay,2013
167,"Rockfish, unspecified",11,Morro Bay,2013
168,"Rockfish, vermilion","17,997",Morro Bay,2013
169,"Rockfish, widow",28,Morro Bay,2013
170,"Rockfish, yellowtail",629,Morro Bay,2013
171,Sablefish,"722,079",Morro Bay,2013
172,"Salmon, Chinook","68,625",Morro Bay,2013
173,"Sanddab, Pacific",3,Morro Bay,2013
174,Sanddab,2,Morro Bay,2013
175,"Scorpionfish, California",46,Morro Bay,2013
176,"Seabass, white","1,801",Morro Bay,2013
177,"Shark, Pacific angel",167,Morro Bay,2013
178,"Shark, blue",10,Morro Bay,2013
179,"Shark, leopard",63,Morro Bay,2013
180,"Shark, sevengill",399,Morro Bay,2013
181,"Shark, shortfin mako","4,875",Morro Bay,2013
182,"Shark, sixgill",9,Morro Bay,2013
183,"Shark, soupfin",207,Morro Bay,2013
184,"Shark, spiny dogfish",24,Morro Bay,2013
185,"Shark, swell",24,Morro Bay,2013
186,"Shark, thresher","1,491",Morro Bay,2013
187,"Barracuda, California",407,Morro Bay,2012
188,Butterfish (Pacific pompano),406,Morro Bay,2012
189,Cabezon,"31,638",Morro Bay,2012
190,"Croaker, white",764,Morro Bay,2012
191,"Eel, monkeyface (prickleback)",35,Morro Bay,2012
192,"Fish, unspecified",1,Morro Bay,2012
193,"Flounder, arrowtooth",2,Morro Bay,2012
194,"Flounder, starry","1,278",Morro Bay,2012
195,"Flounder, unspecified",55,Morro Bay,2012
196,"Greenling, kelp","4,424",Morro Bay,2012
197,Grenadier,"47,857",Morro Bay,2012
198,"Guitarfish, shovelnose",243,Morro Bay,2012
199,Hagfishes,"349,892",Morro Bay,2012
200,"Halibut, California","9,452",Morro Bay,2012
201,Kelpfishes,15,Morro Bay,2012
202,Lingcod,"30,949",Morro Bay,2012
203,"Lizardfish, California","1,664",Morro Bay,2012
204,Louvar,845,Morro Bay,2012
205,"Mackerel, Pacific",11,Morro Bay,2012
206,Opah,"9,236",Morro Bay,2012
207,"Pomfret, Pacific",27,Morro Bay,2012
208,"Rockfish, China",147,Morro Bay,2012
209,"Rockfish, Mexican",1,Morro Bay,2012
210,"Rockfish, Pacific ocean perch",2,Morro Bay,2012
211,"Rockfish, aurora","1,708",Morro Bay,2012
212,"Rockfish, bank","18,773",Morro Bay,2012
213,"Rockfish, black-and-yellow","16,735",Morro Bay,2012
214,"Rockfish, black","1,157",Morro Bay,2012
215,"Rockfish, blackgill","87,331",Morro Bay,2012
216,"Rockfish, blue",220,Morro Bay,2012
217,"Rockfish, bocaccio","1,542",Morro Bay,2012
218,"Rockfish, bronzespotted",36,Morro Bay,2012
219,"Rockfish, brown","49,099",Morro Bay,2012
220,"Rockfish, chilipepper","19,490",Morro Bay,2012
221,"Rockfish, copper","2,147",Morro Bay,2012
222,"Rockfish, cowcod",34,Morro Bay,2012
223,"Rockfish, darkblotched",324,Morro Bay,2012
224,"Rockfish, gopher","37,598",Morro Bay,2012
225,"Rockfish, grass","9,072",Morro Bay,2012
226,"Rockfish, greenblotched",5,Morro Bay,2012
227,"Rockfish, greenspotted",18,Morro Bay,2012
228,"Rockfish, group nearshore",2,Morro Bay,2012
229,"Rockfish, group red",279,Morro Bay,2012
230,"Rockfish, group rosefish",4,Morro Bay,2012
231,"Rockfish, group shelf",441,Morro Bay,2012
232,"Rockfish, group slope","38,811",Morro Bay,2012
233,"Rockfish, kelp",495,Morro Bay,2012
234,"Rockfish, olive",159,Morro Bay,2012
235,"Rockfish, pink",22,Morro Bay,2012
236,"Rockfish, redbanded","1,220",Morro Bay,2012
237,"Rockfish, rosethorn",1,Morro Bay,2012
238,"Rockfish, splitnose","14,794",Morro Bay,2012
239,"Rockfish, starry",64,Morro Bay,2012
240,"Rockfish, treefish","3,094",Morro Bay,2012
241,"Rockfish, unspecified",1,Morro Bay,2012
242,"Rockfish, vermilion","13,552",Morro Bay,2012
243,"Rockfish, widow",40,Morro Bay,2012
244,"Rockfish, yellowtail",378,Morro Bay,2012
245,Sablefish,"828,409",Morro Bay,2012
246,"Salmon, Chinook","119,546",Morro Bay,2012
247,"Sanddab, Pacific",355,Morro Bay,2012
248,Sanddab,1,Morro Bay,2012
249,"Scorpionfish, California",5,Morro Bay,2012
250,"Seabass, white","14,705",Morro Bay,2012
251,"Shark, Pacific angel",613,Morro Bay,2012
252,"Shark, brown smoothhound",4,Morro Bay,2012
253,"Shark, leopard",44,Morro Bay,2012
254,"Shark, salmon",54,Morro Bay,2012
255,"Shark, sevengill",273,Morro Bay,2012
256,"Shark, shortfin mako","4,394",Morro Bay,2012
257,"Shark, smooth hammerhead","2,435",Morro Bay,2012
258,"Shark, soupfin",177,Morro Bay,2012
259,"Anchovy, northern","1,072",Morro Bay,2011
260,"Barracuda, California","2,317",Morro Bay,2011
261,Butterfish (Pacific pompano),198,Morro Bay,2011
262,Cabezon,"33,304",Morro Bay,2011
263,"Croaker, white","1,516",Morro Bay,2011
264,Dolphin (fish),32,Morro Bay,2011
265,"Eel, monkeyface (prickleback)",59,Morro Bay,2011
266,"Eel, spotted cusk-","2,151",Morro Bay,2011
267,"Fish, unspecified",51,Morro Bay,2011
268,"Flounder, arrowtooth",8,Morro Bay,2011
269,"Flounder, starry",631,Morro Bay,2011
270,"Flounder, unspecified",205,Morro Bay,2011
271,"Greenling, kelp","2,342",Morro Bay,2011
272,Grenadier,"22,154",Morro Bay,2011
273,"Guitarfish, shovelnose",277,Morro Bay,2011
274,Hagfishes,"378,660",Morro Bay,2011
275,"Halibut, California","21,588",Morro Bay,2011
276,Lingcod,"25,644",Morro Bay,2011
277,"Lizardfish, California","3,010",Morro Bay,2011
278,Louvar,600,Morro Bay,2011
279,"Mackerel, Pacific",8,Morro Bay,2011
280,Opah,"26,115",Morro Bay,2011
281,"Pomfret, Pacific",115,Morro Bay,2011
282,"Ray, bat",35,Morro Bay,2011
283,"Rockfish, China",228,Morro Bay,2011
284,"Rockfish, aurora","4,246",Morro Bay,2011
285,"Rockfish, bank","2,114",Morro Bay,2011
286,"Rockfish, black-and-yellow","17,412",Morro Bay,2011
287,"Rockfish, black",750,Morro Bay,2011
288,"Rockfish, blackgill","171,598",Morro Bay,2011
289,"Rockfish, blue",508,Morro Bay,2011
290,"Rockfish, bocaccio",208,Morro Bay,2011
291,"Rockfish, brown","55,743",Morro Bay,2011
292,"Rockfish, chilipepper",4,Morro Bay,2011
293,"Rockfish, copper","2,394",Morro Bay,2011
294,"Rockfish, darkblotched",182,Morro Bay,2011
295,"Rockfish, gopher","48,947",Morro Bay,2011
296,"Rockfish, grass","12,150",Morro Bay,2011
297,"Rockfish, greenspotted",2,Morro Bay,2011
298,"Rockfish, group nearshore",6,Morro Bay,2011
299,"Rockfish, group red",549,Morro Bay,2011
300,"Rockfish, group rosefish",5,Morro Bay,2011
301,"Rockfish, group shelf",6,Morro Bay,2011
302,"Rockfish, group slope","10,638",Morro Bay,2011
303,"Rockfish, kelp",556,Morro Bay,2011
304,"Rockfish, olive",119,Morro Bay,2011
305,"Rockfish, rosethorn",15,Morro Bay,2011
306,"Rockfish, splitnose","3,256",Morro Bay,2011
307,"Rockfish, starry",55,Morro Bay,2011
308,"Rockfish, treefish","3,858",Morro Bay,2011
309,"Rockfish, vermilion","13,064",Morro Bay,2011
310,"Rockfish, widow",3,Morro Bay,2011
311,"Rockfish, yellowtail",259,Morro Bay,2011
312,Sablefish,"1,890,471",Morro Bay,2011
313,"Salmon, Chinook","12,514",Morro Bay,2011
314,"Sanddab, Pacific",27,Morro Bay,2011
315,Sanddab,227,Morro Bay,2011
316,"Seabass, white","15,898",Morro Bay,2011
317,"Shark, Pacific angel",866,Morro Bay,2011
318,"Shark, brown smoothhound",12,Morro Bay,2011
319,"Shark, leopard",143,Morro Bay,2011
320,"Shark, sevengill",467,Morro Bay,2011
321,"Shark, shortfin mako","6,648",Morro Bay,2011
322,"Shark, sixgill",7,Morro Bay,2011
323,"Shark, soupfin",475,Morro Bay,2011
324,"Shark, spiny dogfish",34,Morro Bay,2011
325,"Shark, swell",8,Morro Bay,2011
326,"Shark, thresher","26,113",Morro Bay,2011
327,"Sheephead, California",789,Morro Bay,2011
328,"Skate, longnose","10,137",Morro Bay,2011
329,"Skate, unspecified","14,265",Morro Bay,2011
330,"Sole, Dover","86,711",Morro Bay,2011
331,"Barracuda, California",651,Morro Bay,2010
332,Butterfish (Pacific pompano),949,Morro Bay,2010
333,Cabezon,"19,577",Morro Bay,2010
334,"Croaker, white","3,395",Morro Bay,2010
335,"Eel, monkeyface (prickleback)",30,Morro Bay,2010
336,"Fish, unspecified",33,Morro Bay,2010
337,"Flounder, starry",822,Morro Bay,2010
338,"Flounder, unspecified",256,Morro Bay,2010
339,"Greenling, kelp","1,571",Morro Bay,2010
340,Grenadier,"4,095",Morro Bay,2010
341,"Guitarfish, shovelnose","1,822",Morro Bay,2010
342,Hagfishes,"296,299",Morro Bay,2010
343,"Halibut, California","21,423",Morro Bay,2010
344,Lingcod,"19,587",Morro Bay,2010
345,"Lizardfish, California","1,114",Morro Bay,2010
346,Louvar,257,Morro Bay,2010
347,"Mackerel, unspecified",12,Morro Bay,2010
348,Opah,"4,027",Morro Bay,2010
349,"Pomfret, Pacific",75,Morro Bay,2010
350,"Ratfish, spotted",7,Morro Bay,2010
351,"Ray, unspecified",81,Morro Bay,2010
352,"Rockfish, China",183,Morro Bay,2010
353,"Rockfish, Pacific ocean perch",46,Morro Bay,2010
354,"Rockfish, aurora",370,Morro Bay,2010
355,"Rockfish, bank",30,Morro Bay,2010
356,"Rockfish, black-and-yellow","14,065",Morro Bay,2010
357,"Rockfish, black",346,Morro Bay,2010
358,"Rockfish, blackgill","100,872",Morro Bay,2010
359,"Rockfish, blue",369,Morro Bay,2010
360,"Rockfish, bocaccio",17,Morro Bay,2010
361,"Rockfish, brown","50,930",Morro Bay,2010
362,"Rockfish, calico",1,Morro Bay,2010
363,"Rockfish, chilipepper",2,Morro Bay,2010
364,"Rockfish, copper","1,112",Morro Bay,2010
365,"Rockfish, darkblotched",156,Morro Bay,2010
366,"Rockfish, gopher","39,736",Morro Bay,2010
367,"Rockfish, grass","9,364",Morro Bay,2010
368,"Rockfish, group gopher",3,Morro Bay,2010
369,"Rockfish, group nearshore",18,Morro Bay,2010
370,"Rockfish, group red",532,Morro Bay,2010
371,"Rockfish, group rosefish",40,Morro Bay,2010
372,"Rockfish, group shelf",1,Morro Bay,2010
373,"Rockfish, group slope",130,Morro Bay,2010
374,"Rockfish, kelp",751,Morro Bay,2010
375,"Rockfish, olive",102,Morro Bay,2010
376,"Rockfish, pinkrose",1,Morro Bay,2010
377,"Rockfish, rosethorn",1,Morro Bay,2010
378,"Rockfish, rosy",0,Morro Bay,2010
379,"Rockfish, splitnose",1,Morro Bay,2010
380,"Rockfish, starry",75,Morro Bay,2010
381,"Rockfish, treefish","3,134",Morro Bay,2010
382,"Rockfish, unspecified",105,Morro Bay,2010
383,"Rockfish, vermilion","6,586",Morro Bay,2010
384,"Rockfish, yellowtail",30,Morro Bay,2010
385,Sablefish,"1,700,709",Morro Bay,2010
386,"Salmon, Chinook",140,Morro Bay,2010
387,"Sardine, Pacific",924,Morro Bay,2010
388,"Scorpionfish, California",54,Morro Bay,2010
389,"Seabass, white","22,416",Morro Bay,2010
390,"Shark, Pacific angel",845,Morro Bay,2010
391,"Shark, leopard",88,Morro Bay,2010
392,"Shark, sevengill",98,Morro Bay,2010
393,"Shark, shortfin mako","1,860",Morro Bay,2010
394,"Shark, soupfin",66,Morro Bay,2010
395,"Shark, spiny dogfish",47,Morro Bay,2010
396,"Shark, thresher","9,821",Morro Bay,2010
397,"Shark, unspecified","1,507",Morro Bay,2010
398,"Sheephead, California","1,100",Morro Bay,2010
399,"Skate, longnose","2,248",Morro Bay,2010
400,"Skate, unspecified","4,487",Morro Bay,2010
401,"Sole, Dover",164,Morro Bay,2010
402,"Sole, petrale",39,Morro Bay,2010
403,"Anchovy, northern","9,387",Morro Bay,2009
404,"Barracuda, California",6,Morro Bay,2009
405,"Bonito, Pacific",7,Morro Bay,2009
406,Butterfish (Pacific pompano),35,Morro Bay,2009
407,Cabezon,"15,475",Morro Bay,2009
408,"Croaker, white",236,Morro Bay,2009
409,"Eel, monkeyface (prickleback)",77,Morro Bay,2009
410,"Flounder, starry","1,270",Morro Bay,2009
411,"Flounder, unspecified",651,Morro Bay,2009
412,"Greenling, kelp","1,133",Morro Bay,2009
413,Grenadier,43,Morro Bay,2009
414,"Guitarfish, shovelnose",137,Morro Bay,2009
415,Hagfishes,"541,594",Morro Bay,2009
416,"Halibut, California","21,101",Morro Bay,2009
417,Lingcod,"16,814",Morro Bay,2009
418,"Lizardfish, California",12,Morro Bay,2009
419,Louvar,825,Morro Bay,2009
420,Opah,"12,851",Morro Bay,2009
421,Queenfish,27,Morro Bay,2009
422,"Ray, bat",150,Morro Bay,2009
423,"Rockfish, China",102,Morro Bay,2009
424,"Rockfish, aurora",983,Morro Bay,2009
425,"Rockfish, bank","32,607",Morro Bay,2009
426,"Rockfish, black-and-yellow","17,611",Morro Bay,2009
427,"Rockfish, black",866,Morro Bay,2009
428,"Rockfish, blackgill","125,380",Morro Bay,2009
429,"Rockfish, blue","1,561",Morro Bay,2009
430,"Rockfish, bocaccio",207,Morro Bay,2009
431,"Rockfish, brown","45,052",Morro Bay,2009
432,"Rockfish, chameleon",190,Morro Bay,2009
433,"Rockfish, chilipepper",250,Morro Bay,2009
434,"Rockfish, copper","1,365",Morro Bay,2009
435,"Rockfish, darkblotched","7,454",Morro Bay,2009
436,"Rockfish, gopher","30,071",Morro Bay,2009
437,"Rockfish, grass","12,289",Morro Bay,2009
438,"Rockfish, greenspotted",118,Morro Bay,2009
439,"Rockfish, group red",519,Morro Bay,2009
440,"Rockfish, group rosefish","3,662",Morro Bay,2009
441,"Rockfish, group shelf",25,Morro Bay,2009
442,"Rockfish, group slope",216,Morro Bay,2009
443,"Rockfish, kelp",332,Morro Bay,2009
444,"Rockfish, olive",85,Morro Bay,2009
445,"Rockfish, quillback",11,Morro Bay,2009
446,"Rockfish, redbanded",103,Morro Bay,2009
447,"Rockfish, splitnose","7,637",Morro Bay,2009
448,"Rockfish, starry",67,Morro Bay,2009
449,"Rockfish, treefish","2,850",Morro Bay,2009
450,"Rockfish, vermilion","2,884",Morro Bay,2009
451,"Rockfish, widow",22,Morro Bay,2009
452,"Rockfish, yelloweye",41,Morro Bay,2009
453,"Rockfish, yellowtail",56,Morro Bay,2009
454,Sablefish,"1,435,909",Morro Bay,2009
455,"Sardine, Pacific","8,564",Morro Bay,2009
456,"Sculpin, staghorn",62,Morro Bay,2009
457,"Seabass, white","1,704",Morro Bay,2009
458,"Shark, Pacific angel",724,Morro Bay,2009
459,"Shark, blue",35,Morro Bay,2009
460,"Shark, leopard",26,Morro Bay,2009
461,"Shark, sevengill",199,Morro Bay,2009
462,"Shark, shortfin mako","11,745",Morro Bay,2009
463,"Shark, soupfin",93,Morro Bay,2009
464,"Shark, thresher","7,144",Morro Bay,2009
465,"Sheephead, California",656,Morro Bay,2009
466,"Skate, longnose","5,800",Morro Bay,2009
467,"Skate, unspecified","2,875",Morro Bay,2009
468,"Smelt, surf",22,Morro Bay,2009
469,"Sole, Dover","44,760",Morro Bay,2009
470,"Sole, English",73,Morro Bay,2009
471,"Sole, petrale","42,651",Morro Bay,2009
472,"Sole, rex","13,190",Morro Bay,2009
473,"Sole, rock",3,Morro Bay,2009
474,"Sole, sand",124,Morro Bay,2009
475,"Bonito, Pacific","2,268",Morro Bay,2008
476,Cabezon,"23,998",Morro Bay,2008
477,"Eel, monkeyface (prickleback)",56,Morro Bay,2008
478,"Flounder, starry",492,Morro Bay,2008
479,"Flounder, unspecified",248,Morro Bay,2008
480,"Greenling, kelp","1,261",Morro Bay,2008
481,Grenadier,361,Morro Bay,2008
482,"Guitarfish, shovelnose",21,Morro Bay,2008
483,Hagfishes,"184,036",Morro Bay,2008
484,"Halibut, California","13,295",Morro Bay,2008
485,Lingcod,"16,498",Morro Bay,2008
486,Louvar,135,Morro Bay,2008
487,Opah,"10,664",Morro Bay,2008
488,"Pomfret, Pacific",3,Morro Bay,2008
489,"Rockfish, China",93,Morro Bay,2008
490,"Rockfish, Pacific ocean perch",453,Morro Bay,2008
491,"Rockfish, aurora",84,Morro Bay,2008
492,"Rockfish, bank","84,424",Morro Bay,2008
493,"Rockfish, black-and-yellow","18,669",Morro Bay,2008
494,"Rockfish, black",532,Morro Bay,2008
495,"Rockfish, blackgill","30,638",Morro Bay,2008
496,"Rockfish, blue",889,Morro Bay,2008
497,"Rockfish, bocaccio",341,Morro Bay,2008
498,"Rockfish, bronzespotted",40,Morro Bay,2008
499,"Rockfish, brown","41,759",Morro Bay,2008
500,"Rockfish, canary",206,Morro Bay,2008
501,"Rockfish, chilipepper","3,283",Morro Bay,2008
502,"Rockfish, copper","1,283",Morro Bay,2008
503,"Rockfish, darkblotched","3,906",Morro Bay,2008
504,"Rockfish, flag",3,Morro Bay,2008
505,"Rockfish, gopher","30,691",Morro Bay,2008
506,"Rockfish, grass","18,067",Morro Bay,2008
507,"Rockfish, greenblotched",12,Morro Bay,2008
508,"Rockfish, greenspotted",35,Morro Bay,2008
509,"Rockfish, group red",321,Morro Bay,2008
510,"Rockfish, group rosefish","2,875",Morro Bay,2008
511,"Rockfish, group slope",108,Morro Bay,2008
512,"Rockfish, kelp",237,Morro Bay,2008
513,"Rockfish, olive",74,Morro Bay,2008
514,"Rockfish, redbanded",85,Morro Bay,2008
515,"Rockfish, speckled",8,Morro Bay,2008
516,"Rockfish, splitnose","9,219",Morro Bay,2008
517,"Rockfish, starry",194,Morro Bay,2008
518,"Rockfish, treefish","1,975",Morro Bay,2008
519,"Rockfish, unspecified",31,Morro Bay,2008
520,"Rockfish, vermilion","3,579",Morro Bay,2008
521,"Rockfish, widow",6,Morro Bay,2008
522,"Rockfish, yellowtail",64,Morro Bay,2008
523,Sablefish,"343,536",Morro Bay,2008
524,"Seabass, white",440,Morro Bay,2008
525,"Shark, Pacific angel","1,320",Morro Bay,2008
526,"Shark, leopard",27,Morro Bay,2008
527,"Shark, sevengill",82,Morro Bay,2008
528,"Shark, shortfin mako","5,233",Morro Bay,2008
529,"Shark, soupfin",161,Morro Bay,2008
530,"Shark, thresher","24,101",Morro Bay,2008
531,"Shark, unspecified",314,Morro Bay,2008
532,"Sheephead, California",583,Morro Bay,2008
533,"Skate, big",32,Morro Bay,2008
534,"Skate, unspecified","1,447",Morro Bay,2008
535,"Sole, Dover","78,257",Morro Bay,2008
536,"Sole, English",451,Morro Bay,2008
537,"Sole, petrale","92,750",Morro Bay,2008
538,"Sole, rex","19,902",Morro Bay,2008
539,"Sole, rock",1,Morro Bay,2008
540,"Sole, sand",35,Morro Bay,2008
541,"Sole, unspecified",491,Morro Bay,2008
542,"Surfperch, barred","1,261",Morro Bay,2008
543,"Surfperch, redtail",7,Morro Bay,2008
544,"Surfperch, rubberlip",2,Morro Bay,2008
545,"Surfperch, unspecified","2,891",Morro Bay,2008
546,Swordfish,"69,981",Morro Bay,2008
547,Butterfish (Pacific pompano),37,Morro Bay,2007
548,Cabezon,"27,789",Morro Bay,2007
549,"Eel, monkeyface (prickleback)",48,Morro Bay,2007
550,"Flounder, starry",483,Morro Bay,2007
551,"Flounder, unspecified",45,Morro Bay,2007
